"дней работы","Тепература пласта","Газовый фактор пласта","Давление насыщения","Плотность нефти","Плотность воды","Вязкость жидкости","Забойное давление","Подача ЭЦН","Напор ЭЦН","Дебит жидкости","Дебит нефти","КВЧ","кривизна","Давление пластовое"
"290","70","78","99","0.84","1.015","1.59","0","60","1600","59.325","7.56","0","2.057471","130"
"290","70","78","99","0.84","1.015","1.29","22.884665840291","60","2100","17.15","15.12","0","0.081028","130"
"292","60","59","134","0.849","1.019","1.68","77.520158093072","250","1400","318.8984","5.33172","176","0.841909","145"
"297","73","73.7","100","0.842","1.023","1.63","27.263313525183","50","2300","49.32879","3.71322","124","0.687553","115"
"298","73","73.7","100","0.842","1.023","1.65","47.325252413574","35","2000","33.215352","1.101336","106","0","166"
"300","72","78","105","0.841","1.015","1.64","0","320","1600","373.6186","9.3351","118","0.872712","158"
"301","56","74.746","102.46","0.84516","1.01458","1.66","0","30","1650","35.85760836","1.81033272","0","0.259419","133"
"301","60","70","97","0.846","1.014","1.66","48.029559465323","35","1600","52.591344","11.921832","154","0.677937","113"
"304","60","70","97","0.846","1.014","1.66","34.303605007675","35","1700","40.95408","3.12174","127","0.465474","115.4"
"311","54","72","116","0.843","1.015","1.65","35.149756538357","100","1700","97.12028","6.54168","0","0.409177","119"
"312","54","72","116","0.843","1.015","1.56","33.686302409932","25","1700","13.65312","12.67872","164","0.167045","140"
"316","60","99","160","0.845","1.015","1.65","30.009742137272","50","1700","32.2624","1.0816","147","0.190029","151.292"
"320","54","72","116","0.843","1.015","1.64","32.414045711261","35","1700","41.1852","7.0812","0","0.375716","121"
"320","60","70","97","0.846","1.014","1.66","34.933545072853","80","1650","29.7144","3.5532","180","2.195393","159"
"321","73","73.7","100","0.842","1.023","1.54","29.821012745571","25","2200","25.76742","6.71916","280","0","170"
"324","60","70","97","0.846","1.014","1.67","62.686754712852","160","1550","188.67552","4.74606","0","0","100"
"336","60","70","97","0.846","1.014","1.63","39.277763267363","50","1550","4.3476","3.6378","315","0.206583","105"
"338","86","170","169","0.804","1.015","1.43","116.31665620689","160","1700","136.68565","16.7634","136","0.214381","225"
"338","72","78","105","0.841","1.015","1.62","0","79","1950","108.30456","6.35796","176","0.162057","0"
"342","72","93","105","0.842","1.015","1.21","67.5254967266","50","1900","44.99276","42.84096","98","0.16764","155"
"342","60","70","97","0.846","1.014","1.66","32.740588770633","35","1650","46.9476","10.21545","198","0.18566","121"
"342","54","72","116","0.843","1.015","1.66","0","500","1500","492.9868572","11.9325807","0","0.151591","118"
"347","72","93","105","0.842","1.015","1.51","81.19896597323","30","1600","14.4465","3.789","164","0.256235","148"
"350","73","73.7","100","0.842","1.023","1.65","0","100","2200","87.86324","2.91332","0","0.249747","171"
"350","72","93","105","0.842","1.015","1.28","33.462425980318","160","2100","28.3221","10.3566","139","0.205807","157.605"
"351","70","78","99","0.84","1.015","1.32","23.131279392424","30","2100","7.0875","5.4432","0","0.070173","151"
"351","53","72.558","115.64","0.84306","1.015","1.66","55.760954369301","400","1300","391.28491664","12.43007664","90","0.162057","131.5735"
"354","53","81.3","110","0.844","1.015","1.66","60.316989120109","125","1650","143.442044","2.393584","210","0.162057","135"
"354","60","80","160","0.878","1.019","1.67","154.20398269387","60","1300","101.8859","0.0878","126","0.625036","155"
"356","54","72","116","0.843","1.015","1.66","58.998056541338","320","1650","365.94756","12.24036","127","0.341381","121"
"356","75","86","101.5","0.836","1.023","1.63","87.989501127392","125","1950","128.73355","5.3086","200","0.057296","160"
"358","53","81.3","110","0.844","1.015","1.58","0","60","1600","15.74336","7.46096","122","0.252651","135"
"360","60","59","134","0.849","1.019","1.69","0","80","1700","102.2322","3.42996","0","0.249747","152"
"364","86","177","169","0.804","1.015","1.6","94.772063003029","250","2200","299.57499","7.16364","115","0.243086","220"
"366","73","73.7","103","0.842","1.023","1.59","58.004577103012","50","2050","59.9682","6.5676","129","2.36336","163"
"366","60","70","97","0.846","1.014","1.65","25.811630076209","30","1800","33.006912","14.035986","0","0","108"
"367","61","106","143.7","0.858","1.019","1.52","105.49123098726","320","1150","284.8692","2.4024","130","1.618758","150.8"
"368","57","75.65","103.5","0.845","1.0145","1.66","21.841674276156","50","1650","75.960375","0.63375","98","0.128117","125"
"369","72","134","114","0.81","1.02","1.47","30.076812259175","35","2150","19.686","2.754","0","0","134.9"
"370","53","78.51","111.8","0.8437","1.015","1.65","45.86611598868","80","1700","16.818185","2.151435","110","0.134371","140"
"371","54","72.2139","115.862","0.843023","1.015","1.65","44.99130371579","125","1550","161.6439726","13.6569726","79","0.128117","125"
"373","60","70","97","0.846","1.014","1.67","72.466493848757","25","1550","33.29568","0.83754","120","0.677937","133.3"
"373","62","98","81","0.827","1.015","1.64","102.7467675201","125","1650","151.686","2.481","100","0.229183","180"
"378","73","73.7","100","0.842","1.023","1.62","31.532684385601","250","2300","128.6272","10.7776","98","0.214381","185"
"391","59","72.26","99.6","0.8456","1.0142","1.63","23.590574296178","25","1650","26.518482","4.337928","214","0.708728","136.8"
"391","54","75.069","114.02","0.84333","1.015","1.66","48.027969348399","200","1550","191.5105437","1.5938937","113","0.66942","148"
"395","70","78","99","0.84","1.015","1.65","0","320","2000","372.96","12.432","0","0.265671","129"
"398","60","70","97","0.846","1.014","1.65","31.480225122881","25","1700","29.267976","14.481828","178","0.114592","123"
"401","73","73.7","100","0.842","1.023","1.53","0","30","2150","27.356868","7.891224","0","0.206583","172"
